               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078297,            0.095314,            0.091793,            0.014903,             0.64084,            0.027245,            0.011374,            0.050516,            0.070698,              0.0826,            0.070337,           0.0032959,           0.0032959
                   1,            0.053056,            0.067107,            0.086719,            0.016228,             0.70377,             0.03418,            0.015572,            0.039079,            0.055825,            0.076974,            0.040271,           0.0065636,           0.0065636
                   2,            0.050797,            0.061708,            0.084395,            0.023211,             0.84257,             0.05706,             0.03164,            0.030937,            0.056729,            0.075509,             0.01014,           0.0097653,           0.0097653
                   3,            0.041491,             0.05911,            0.082385,              0.5917,            0.070438,             0.08677,            0.050713,             0.03201,            0.054651,            0.073476,            0.009703,            0.009703,            0.009703
                   4,            0.037247,            0.057441,            0.080004,             0.57423,            0.063427,            0.099903,            0.068813,            0.023677,            0.047435,             0.07205,            0.009703,            0.009703,            0.009703
                   5,            0.034452,            0.054346,            0.077194,             0.48849,            0.098032,             0.14504,            0.095197,             0.02661,            0.048864,            0.068918,            0.009604,            0.009604,            0.009604
                   6,            0.032738,            0.052989,              0.0741,             0.40522,             0.15943,             0.18671,             0.12693,            0.022897,             0.04704,            0.066535,            0.009505,            0.009505,            0.009505
                   7,            0.032877,            0.053199,            0.070884,             0.35672,             0.22476,             0.24921,             0.17044,            0.023409,            0.046764,            0.062159,            0.009406,            0.009406,            0.009406
                   8,            0.032005,            0.052209,            0.066205,             0.42892,             0.27866,              0.2948,             0.19305,            0.024487,            0.046455,            0.056064,            0.009307,            0.009307,            0.009307
                   9,            0.032085,            0.051079,            0.061287,             0.38898,             0.34051,             0.35522,             0.24725,            0.022514,            0.046482,            0.051214,            0.009208,            0.009208,            0.009208
                  10,            0.030784,             0.05124,            0.056046,             0.62183,             0.32591,             0.39995,              0.2923,            0.020294,             0.04436,            0.046054,            0.009109,            0.009109,            0.009109
                  11,            0.031048,            0.050613,            0.052167,             0.42577,              0.4586,             0.44114,             0.30493,            0.023517,            0.046658,            0.044096,             0.00901,             0.00901,             0.00901
                  12,            0.031213,            0.051003,            0.047837,             0.46455,             0.52764,             0.53084,             0.37711,            0.021742,            0.046923,            0.038394,            0.008911,            0.008911,            0.008911
                  13,            0.030459,            0.050788,            0.044161,             0.58238,             0.56767,             0.61469,             0.46026,            0.019532,            0.045158,            0.036552,            0.008812,            0.008812,            0.008812
                  14,            0.029641,            0.049298,             0.04073,             0.66187,             0.58231,             0.68424,              0.4884,            0.022301,            0.046525,            0.031223,            0.008713,            0.008713,            0.008713
                  15,             0.03073,            0.050478,            0.037124,             0.64245,             0.68233,             0.73277,             0.52929,            0.020512,            0.045256,            0.029148,            0.008614,            0.008614,            0.008614
                  16,            0.030104,            0.047937,            0.033915,             0.72495,              0.7085,             0.76867,             0.55383,            0.020329,            0.045053,            0.025793,            0.008515,            0.008515,            0.008515
                  17,             0.03006,            0.049156,            0.031426,             0.75134,             0.73818,             0.79615,             0.55011,            0.021722,            0.045423,            0.023875,            0.008416,            0.008416,            0.008416
                  18,            0.029456,            0.048083,            0.028742,             0.83473,             0.74985,             0.81545,             0.57994,            0.021348,            0.044989,            0.022851,            0.008317,            0.008317,            0.008317
                  19,            0.029457,            0.048472,            0.027542,             0.86574,              0.7622,             0.82751,             0.61026,            0.020153,            0.045738,            0.019879,            0.008218,            0.008218,            0.008218
                  20,            0.028942,            0.048521,            0.026024,             0.89814,             0.79356,              0.8471,             0.61678,            0.020765,            0.044544,            0.018094,            0.008119,            0.008119,            0.008119
                  21,            0.028313,            0.047964,            0.024568,             0.91436,             0.79458,             0.86987,             0.64089,            0.021001,            0.044425,             0.01767,             0.00802,             0.00802,             0.00802
                  22,             0.02877,            0.047715,            0.023475,             0.92309,             0.80384,             0.88203,             0.66366,            0.020291,            0.043818,            0.015819,            0.007921,            0.007921,            0.007921
                  23,            0.027409,            0.046053,            0.023185,              0.8984,             0.82533,             0.89707,             0.67826,            0.018914,            0.043706,            0.014574,            0.007822,            0.007822,            0.007822
                  24,            0.027996,            0.048123,            0.021201,              0.8948,             0.88186,             0.91044,             0.68453,            0.020013,            0.044672,            0.014974,            0.007723,            0.007723,            0.007723
                  25,            0.027509,            0.045903,            0.020557,             0.90938,             0.88796,             0.92563,             0.69711,            0.019889,            0.044024,            0.012259,            0.007624,            0.007624,            0.007624
                  26,            0.027018,            0.046852,            0.019899,             0.91102,             0.87779,             0.92481,             0.70137,            0.019205,            0.044314,            0.013634,            0.007525,            0.007525,            0.007525
                  27,            0.027332,            0.047013,              0.0192,             0.92258,             0.90914,             0.93981,             0.71231,            0.019166,             0.04406,            0.011354,            0.007426,            0.007426,            0.007426
                  28,            0.027395,            0.047142,            0.018601,             0.93352,             0.89851,             0.93678,             0.70639,            0.019076,            0.043588,            0.010877,            0.007327,            0.007327,            0.007327
                  29,            0.026639,            0.046324,            0.018381,             0.93613,             0.89911,             0.94112,             0.73312,            0.018387,            0.043006,            0.011497,            0.007228,            0.007228,            0.007228
                  30,            0.026359,            0.046043,            0.017477,             0.93792,             0.89888,              0.9411,             0.73781,            0.017823,            0.042597,            0.010165,            0.007129,            0.007129,            0.007129
